candidate_id,skills,experience_years,job_role,shortlisted
C00094,"TypeScript, Redux",1.9,Frontend Developer,0
C00095,"CSS, HTML, React, JavaScript, TypeScript",5.0,Frontend Developer,1
C00096,"Spring, Microservices",5.3,Backend Developer,0
C00097,"Dart, React Native",5.2,Mobile Developer,0
C00098,"Firebase, React Native, Kotlin, Swift",1.8,Mobile Developer,0
C00099,"React Native, Swift, Flutter, Firebase, Dart",8.7,Mobile Developer,1
C00100,"Pandas, Python, Machine Learning, Statistics, SQL",4.2,Data Scientist,1
C00101,"Docker, Microservices, SQL, Java",7.3,Backend Developer,1
C00102,"Pandas, Python, Machine Learning, TensorFlow",3.7,Data Scientist,1
C00103,"Swift, Flutter, React Native",7.8,Mobile Developer,1
C00104,"Redux, HTML, JavaScript, CSS",8.3,Frontend Developer,1
C00105,"Dart, Kotlin",1.3,Mobile Developer,0
C00106,"CSS, React, HTML, Redux",6.5,Frontend Developer,1
C00107,"Statistics, SQL, Pandas, Python",2.2,Data Scientist,1
C00108,"JavaScript, Redux, HTML, React, CSS",7.7,Frontend Developer,1
C00109,"Spring, SQL, REST, Microservices, Docker",2.9,Backend Developer,1
C00110,"React, TypeScript, Redux, CSS",7.1,Frontend Developer,1
C00111,"Kotlin, Flutter, Firebase",6.4,Mobile Developer,1
C00112,"Flutter, React Native, Kotlin",8.2,Mobile Developer,1
C00113,"Java, Microservices, REST",3.8,Backend Developer,1
C00114,"Java, Spring",6.6,Backend Developer,0
C00115,"Flutter, Dart, React Native",1.8,Mobile Developer,0
C00116,"Linux, Docker",9.1,DevOps Engineer,0
C00117,"Docker, Kubernetes, CI/CD, AWS",7.7,DevOps Engineer,1
C00118,"Linux, CI/CD, AWS",4.7,DevOps Engineer,1
C00119,"Kubernetes, Terraform",9.2,DevOps Engineer,0
C00120,"Microservices, Docker, SQL, Spring, Java",7.5,Backend Developer,1
C00121,"Kubernetes, Docker, CI/CD, Linux, AWS",5.5,DevOps Engineer,1
C00122,"React Native, Kotlin",3.7,Mobile Developer,0
C00123,"JavaScript, CSS, TypeScript, HTML, React",8.7,Frontend Developer,1
C00124,"Flutter, Swift, React Native, Kotlin, Dart",0.5,Mobile Developer,0
C00125,"Swift, Kotlin, React Native",4.7,Mobile Developer,1
C00126,"Machine Learning, Pandas",6.1,Data Scientist,0
C00127,"CSS, TypeScript",8.2,Frontend Developer,0
C00128,"AWS, Kubernetes, Linux",1.3,DevOps Engineer,0
C00129,"REST, Spring, Docker, SQL",2.4,Backend Developer,1
C00130,"Python, Statistics, SQL, TensorFlow",6.9,Data Scientist,1
C00131,"AWS, Linux",9.9,DevOps Engineer,0
C00132,"Kubernetes, Linux, Docker, CI/CD",2.1,DevOps Engineer,1
C00133,"Kubernetes, Linux, CI/CD, Terraform, AWS",9.6,DevOps Engineer,1
C00134,"Docker, Kubernetes, Terraform, AWS, CI/CD",3.3,DevOps Engineer,1
C00135,"REST, SQL, Spring, Docker",7.4,Backend Developer,1
C00136,"HTML, React",7.6,Frontend Developer,0
C00137,"Kubernetes, Linux",6.9,DevOps Engineer,0
C00138,"SQL, Spring, Microservices, Docker",6.0,Backend Developer,1
C00139,"Flutter, Dart, Swift",4.3,Mobile Developer,1
C00140,"SQL, REST, Microservices",5.7,Backend Developer,1
C00141,"Redux, CSS, React, HTML, TypeScript",7.8,Frontend Developer,1
C00142,"SQL, Docker, Microservices, REST, Spring",2.9,Backend Developer,1
C00143,"Terraform, Linux",1.6,DevOps Engineer,0
C00144,"TypeScript, React, Redux",3.0,Frontend Developer,1
C00145,"REST, Java, SQL",2.4,Backend Developer,1
C00146,"Statistics, Machine Learning, Python, TensorFlow",4.6,Data Scientist,1
C00147,"Firebase, Kotlin, Flutter, React Native, Dart",9.3,Mobile Developer,1
C00148,"Swift, React Native, Kotlin, Dart",7.8,Mobile Developer,1
C00149,"React, CSS, Redux",6.1,Frontend Developer,1
C00150,"Redux, TypeScript",4.9,Frontend Developer,0
C00151,"SQL, Java, REST, Spring, Microservices",1.2,Backend Developer,0
C00152,"Terraform, Linux, CI/CD, Kubernetes, Docker",5.8,DevOps Engineer,1
C00153,"REST, Java",8.6,Backend Developer,0
C00154,"Statistics, SQL",3.3,Data Scientist,0
C00155,"Firebase, Dart",3.2,Mobile Developer,0
C00156,"React, TypeScript",5.1,Frontend Developer,0
C00157,"Python, Machine Learning",4.9,Data Scientist,0
C00158,"Pandas, Machine Learning, Python",5.3,Data Scientist,1
C00159,"Kubernetes, Terraform",6.8,DevOps Engineer,0
C00160,"SQL, REST, Docker, Java",3.9,Backend Developer,1
C00161,"Machine Learning, TensorFlow, Pandas, SQL, Python",3.0,Data Scientist,1
C00162,"AWS, CI/CD, Docker, Kubernetes",1.6,DevOps Engineer,0
C00163,"HTML, TypeScript, CSS",5.4,Frontend Developer,1
C00164,"Machine Learning, SQL",7.0,Data Scientist,0
C00165,"Statistics, TensorFlow, Python",2.2,Data Scientist,1
C00166,"Java, Spring, Docker, Microservices, REST",8.9,Backend Developer,1
C00167,"Swift, Firebase, Dart, React Native, Kotlin",4.0,Mobile Developer,1
C00168,"Docker, Java",9.9,Backend Developer,0
C00169,"JavaScript, TypeScript, CSS, React, Redux",7.7,Frontend Developer,1
C00170,"Python, Statistics",6.8,Data Scientist,0
C00171,"SQL, REST, Java",1.3,Backend Developer,0
C00172,"Swift, React Native, Kotlin, Firebase, Flutter",9.9,Mobile Developer,1
C00173,"Docker, Kubernetes",8.6,DevOps Engineer,0
C00174,"Docker, REST, Spring, Java",2.6,Backend Developer,1
C00175,"React Native, Swift",4.8,Mobile Developer,0
C00176,"HTML, React, TypeScript, JavaScript, CSS",7.1,Frontend Developer,1
C00177,"TypeScript, JavaScript",5.7,Frontend Developer,0
C00178,"Firebase, Kotlin, React Native, Dart",8.6,Mobile Developer,1
C00179,"CI/CD, Terraform, Docker",4.1,DevOps Engineer,1
C00180,"Pandas, SQL, Statistics, Python",2.7,Data Scientist,1
C00181,"CI/CD, Terraform",8.4,DevOps Engineer,0
C00182,"TensorFlow, SQL, Machine Learning, Pandas",9.5,Data Scientist,1
C00183,"Linux, Kubernetes, Docker, Terraform",9.1,DevOps Engineer,1
C00184,"Microservices, REST, Java, Spring, Docker",2.9,Backend Developer,1
C00185,"Pandas, Statistics, TensorFlow, Machine Learning",0.9,Data Scientist,0
C00186,"Flutter, Kotlin, Dart, Swift, Firebase",9.9,Mobile Developer,1
C00187,"React, JavaScript",2.2,Frontend Developer,0
C00188,"Flutter, Swift, Dart, React Native",3.6,Mobile Developer,1
C00189,"SQL, TensorFlow",7.9,Data Scientist,0
C00190,"HTML, React",1.3,Frontend Developer,0
C00191,"Statistics, Machine Learning, SQL, Pandas",6.3,Data Scientist,1
C00192,"Swift, React Native, Flutter, Kotlin, Dart",5.7,Mobile Developer,1
C00193,"React, HTML",2.6,Frontend Developer,0
C00194,"Swift, Dart",8.2,Mobile Developer,0
C00195,"Linux, Terraform, CI/CD, Docker, AWS",6.6,DevOps Engineer,1
C00196,"Java, REST, Spring, Microservices",6.5,Backend Developer,1
C00197,"SQL, Python, Pandas",7.0,Data Scientist,1
C00198,"Terraform, AWS",1.0,DevOps Engineer,0
C00199,"Linux, AWS, CI/CD",9.7,DevOps Engineer,1
C00200,"Dart, Swift, React Native",8.5,Mobile Developer,1
C00201,"Statistics, Machine Learning",3.6,Data Scientist,0
C00202,"JavaScript, TypeScript",8.2,Frontend Developer,0
C00203,"Dart, Kotlin",1.3,Mobile Developer,0
C00204,"JavaScript, TypeScript, React, HTML",7.3,Frontend Developer,1
C00205,"Spring, Docker, SQL, Microservices",2.5,Backend Developer,1
C00206,"Microservices, Java, Docker, Spring, REST",7.2,Backend Developer,1
C00207,"JavaScript, Redux, React, HTML, TypeScript",6.9,Frontend Developer,1
C00208,"Kubernetes, Docker, Linux",9.0,DevOps Engineer,1
C00209,"React Native, Firebase, Swift, Kotlin",4.9,Mobile Developer,1
C00210,"Swift, Kotlin",9.9,Mobile Developer,0
C00211,"Java, Spring",8.1,Backend Developer,0
C00212,"AWS, Docker, Terraform",7.9,DevOps Engineer,1
C00213,"AWS, Terraform",2.8,DevOps Engineer,0
C00214,"Docker, Linux, CI/CD",3.4,DevOps Engineer,1
C00215,"Terraform, Kubernetes, Linux, CI/CD, Docker",0.9,DevOps Engineer,0
C00216,"Docker, Terraform, AWS, CI/CD, Kubernetes",8.2,DevOps Engineer,1
C00217,"Microservices, Docker, Java",6.1,Backend Developer,1
C00218,"Kotlin, React Native, Swift",4.4,Mobile Developer,1
C00219,"REST, Spring, SQL, Docker",2.4,Backend Developer,1
C00220,"Linux, AWS",2.2,DevOps Engineer,0
C00221,"Pandas, Python, TensorFlow, Machine Learning, SQL",7.5,Data Scientist,1
C00222,"Spring, REST, Microservices",0.5,Backend Developer,0
C00223,"JavaScript, Redux, React",4.8,Frontend Developer,1
C00224,"Dart, React Native, Kotlin, Swift, Firebase",3.6,Mobile Developer,1
C00225,"Redux, TypeScript, CSS",4.9,Frontend Developer,1
C00226,"Redux, CSS, HTML, JavaScript",4.9,Frontend Developer,1
C00227,"Terraform, Kubernetes, CI/CD, AWS",1.5,DevOps Engineer,0
C00228,"Kubernetes, AWS",1.8,DevOps Engineer,0
C00229,"SQL, TensorFlow, Python, Pandas, Statistics",4.0,Data Scientist,1
C00230,"REST, SQL, Docker",8.9,Backend Developer,1
C00231,"JavaScript, Redux",6.8,Frontend Developer,0
C00232,"Java, SQL",1.3,Backend Developer,0
C00233,"AWS, Kubernetes, Terraform, CI/CD, Linux",0.6,DevOps Engineer,0
C00234,"JavaScript, CSS, HTML, TypeScript",6.0,Frontend Developer,1
C00235,"Pandas, Statistics, Python",1.6,Data Scientist,0
C00236,"CI/CD, Kubernetes",4.7,DevOps Engineer,0
C00237,"TypeScript, HTML, React",2.4,Frontend Developer,1
C00238,"Dart, Flutter, Swift",1.5,Mobile Developer,0
C00239,"REST, Microservices, Java, SQL",3.1,Backend Developer,1
C00240,"Flutter, Swift, Firebase, React Native, Dart",2.4,Mobile Developer,1
C00241,"Docker, CI/CD, Terraform, AWS, Linux",4.6,DevOps Engineer,1
C00242,"Firebase, Flutter, Kotlin",7.2,Mobile Developer,1
C00243,"Docker, SQL",6.9,Backend Developer,0
C00244,"Spring, REST, SQL",5.2,Backend Developer,1
C00245,"AWS, Terraform, Docker",0.8,DevOps Engineer,0
C00246,"Redux, React, TypeScript, HTML, JavaScript",3.1,Frontend Developer,1
C00247,"Dart, Flutter, React Native, Swift, Kotlin",3.4,Mobile Developer,1
C00248,"TensorFlow, Statistics, Machine Learning, SQL, Pandas",2.6,Data Scientist,1
C00249,"Docker, Linux",9.4,DevOps Engineer,0
C00250,"REST, Docker, Microservices, Spring",8.1,Backend Developer,1
C00251,"Kubernetes, Terraform, Docker, CI/CD, AWS",7.5,DevOps Engineer,1
C00252,"Kotlin, Firebase, Dart",7.3,Mobile Developer,1
C00253,"JavaScript, HTML, CSS",1.2,Frontend Developer,0
C00254,"Java, Spring, Docker, SQL",2.2,Backend Developer,1
C00255,"Firebase, Flutter, React Native",6.6,Mobile Developer,1
C00256,"Java, Microservices, SQL",7.8,Backend Developer,1
C00257,"Python, TensorFlow, SQL",9.4,Data Scientist,1
C00258,"Microservices, Java",2.8,Backend Developer,0
C00259,"CSS, Redux, React, TypeScript, HTML",5.2,Frontend Developer,1
C00260,"Terraform, Kubernetes",2.0,DevOps Engineer,0
C00261,"SQL, Machine Learning",0.5,Data Scientist,0
C00262,"Firebase, Flutter",2.2,Mobile Developer,0
C00263,"HTML, React",9.3,Frontend Developer,0
C00264,"HTML, Redux, CSS",5.7,Frontend Developer,1
C00265,"Kubernetes, CI/CD, Linux, Terraform",2.5,DevOps Engineer,1
C00266,"Machine Learning, SQL",6.7,Data Scientist,0
C00267,"SQL, Statistics",5.6,Data Scientist,0
C00268,"Linux, Kubernetes, CI/CD",7.4,DevOps Engineer,1
C00269,"Kotlin, Dart, Firebase, React Native",3.5,Mobile Developer,1
C00270,"AWS, CI/CD, Kubernetes",6.7,DevOps Engineer,1
C00271,"React Native, Swift",2.5,Mobile Developer,0
C00272,"Kotlin, Dart, React Native",1.4,Mobile Developer,0
C00273,"CI/CD, Kubernetes, AWS, Linux, Terraform",1.5,DevOps Engineer,0
C00274,"Firebase, Kotlin, Flutter, React Native, Dart",2.8,Mobile Developer,1
C00275,"Kubernetes, Docker",8.2,DevOps Engineer,0
C00276,"Redux, HTML",4.3,Frontend Developer,0
C00277,"TypeScript, HTML, CSS",7.3,Frontend Developer,1
C00278,"TensorFlow, SQL, Python, Pandas",6.9,Data Scientist,1
C00279,"TensorFlow, Statistics",3.3,Data Scientist,0
C00280,"REST, Java",4.9,Backend Developer,0
C00281,"Spring, Microservices",8.1,Backend Developer,0
C00282,"CSS, Redux, HTML",3.1,Frontend Developer,1
C00283,"Kubernetes, Terraform, AWS",9.2,DevOps Engineer,1
C00284,"Firebase, React Native, Dart, Swift",2.2,Mobile Developer,1
C00285,"React, TypeScript, CSS, JavaScript, HTML",2.5,Frontend Developer,1
C00286,"React Native, Flutter, Kotlin, Swift",8.4,Mobile Developer,1
C00287,"Linux, Kubernetes, CI/CD, AWS, Docker",0.9,DevOps Engineer,0
C00288,"Docker, Linux, CI/CD",4.8,DevOps Engineer,1
C00289,"CSS, TypeScript",6.6,Frontend Developer,0
C00290,"REST, Java, Spring, Docker, Microservices",3.6,Backend Developer,1
C00291,"TensorFlow, Pandas, Machine Learning, Python, Statistics",6.1,Data Scientist,1
C00292,"Docker, SQL, REST, Java",0.7,Backend Developer,0
C00293,"REST, Microservices, Docker",8.9,Backend Developer,1
C00294,"Python, TensorFlow, Pandas, Statistics",3.5,Data Scientist,1
C00295,"CSS, TypeScript, Redux",3.2,Frontend Developer,1
C00296,"JavaScript, CSS, Redux, HTML",7.1,Frontend Developer,1
C00297,"JavaScript, HTML",9.2,Frontend Developer,0
C00298,"Spring, REST, Java, SQL",2.8,Backend Developer,1
C00299,"TypeScript, HTML",1.8,Frontend Developer,0
C00300,"React Native, Swift, Dart, Flutter, Kotlin",3.3,Mobile Developer,1
C00301,"AWS, Linux",7.6,DevOps Engineer,0
C00302,"REST, Java, Spring",6.1,Backend Developer,1
C00303,"HTML, JavaScript, CSS, React",9.1,Frontend Developer,1
C00304,"Flutter, Swift, React Native",7.8,Mobile Developer,1
C00305,"TypeScript, JavaScript, HTML, React",7.0,Frontend Developer,1
C00306,"Java, REST, Spring, Microservices, SQL",5.5,Backend Developer,1
C00307,"Redux, CSS, TypeScript",7.3,Frontend Developer,1
C00308,"SQL, REST, Java, Docker, Spring",9.3,Backend Developer,1
C00309,"HTML, CSS, Redux, JavaScript",6.7,Frontend Developer,1
C00310,"Spring, Docker, SQL",5.9,Backend Developer,1
C00311,"Swift, Firebase",7.5,Mobile Developer,0
C00312,"Dart, Swift",4.4,Mobile Developer,0
C00313,"Machine Learning, Statistics, Pandas",5.5,Data Scientist,1
C00314,"Machine Learning, SQL, Statistics, Pandas",7.9,Data Scientist,1
C00315,"SQL, Statistics, TensorFlow, Python, Pandas",1.8,Data Scientist,0
C00316,"Machine Learning, Pandas, SQL, Python",3.1,Data Scientist,1
C00317,"REST, Java, Microservices",3.8,Backend Developer,1
C00318,"Spring, Microservices",7.0,Backend Developer,0
C00319,"Flutter, Firebase",4.3,Mobile Developer,0
C00320,"Firebase, Swift",0.6,Mobile Developer,0
C00321,"CI/CD, Terraform",9.0,DevOps Engineer,0
C00322,"HTML, React, TypeScript, JavaScript, CSS",1.2,Frontend Developer,0
C00323,"JavaScript, Redux, CSS, React",0.6,Frontend Developer,0
C00324,"CI/CD, Docker",7.2,DevOps Engineer,0
C00325,"HTML, CSS",3.3,Frontend Developer,0
C00326,"SQL, Machine Learning, Python",9.4,Data Scientist,1
C00327,"Spring, SQL, REST",2.3,Backend Developer,1
C00328,"CI/CD, Linux, Kubernetes, Terraform",7.0,DevOps Engineer,1
C00329,"Flutter, Firebase, Dart, Kotlin",1.9,Mobile Developer,0
C00330,"Machine Learning, SQL, TensorFlow, Statistics",7.2,Data Scientist,1
C00331,"TensorFlow, Pandas, Statistics, Python, SQL",6.8,Data Scientist,1
C00332,"Spring, REST",1.7,Backend Developer,0
C00333,"JavaScript, CSS",2.5,Frontend Developer,0
C00334,"SQL, Pandas",6.0,Data Scientist,0
C00335,"TensorFlow, Python",1.3,Data Scientist,0
C00336,"Docker, Terraform, Linux, Kubernetes, CI/CD",3.2,DevOps Engineer,1
C00337,"CSS, JavaScript, Redux, React",8.3,Frontend Developer,1
C00338,"Redux, TypeScript, JavaScript",5.9,Frontend Developer,1
C00339,"SQL, Machine Learning, Pandas, TensorFlow, Python",9.0,Data Scientist,1
C00340,"Microservices, SQL, Java, Spring, Docker",9.9,Backend Developer,1
C00341,"CSS, TypeScript, HTML, React",1.0,Frontend Developer,0
C00342,"Python, SQL, TensorFlow, Statistics, Pandas",9.6,Data Scientist,1
C00343,"Firebase, Swift, Flutter, React Native",4.9,Mobile Developer,1
C00344,"Docker, Java, REST",7.1,Backend Developer,1
C00345,"Firebase, Swift",2.3,Mobile Developer,0
C00346,"Java, Spring",9.7,Backend Developer,0
C00347,"Firebase, Swift, Dart, Kotlin",3.4,Mobile Developer,1
C00348,"Swift, Kotlin, React Native",9.3,Mobile Developer,1
C00349,"TensorFlow, SQL, Pandas",10.0,Data Scientist,1
C00350,"TypeScript, JavaScript, Redux",1.2,Frontend Developer,0
C00351,"Kotlin, Dart, React Native, Flutter",0.7,Mobile Developer,0
C00352,"SQL, Docker",1.7,Backend Developer,0
C00353,"Redux, HTML, React, CSS",3.2,Frontend Developer,1
C00354,"Flutter, Dart, Swift, React Native, Kotlin",7.2,Mobile Developer,1
C00355,"SQL, REST, Java, Spring, Microservices",4.5,Backend Developer,1
C00356,"Terraform, Docker, AWS, CI/CD",4.2,DevOps Engineer,1
C00357,"Linux, Kubernetes, Docker",4.3,DevOps Engineer,1
C00358,"Machine Learning, Pandas, Statistics, SQL, TensorFlow",1.2,Data Scientist,0
C00359,"Python, Statistics, SQL, TensorFlow, Machine Learning",2.0,Data Scientist,0
C00360,"REST, Docker, Microservices, SQL, Java",5.6,Backend Developer,1
C00361,"SQL, Microservices, Spring, Docker, REST",7.9,Backend Developer,1
C00362,"CI/CD, Docker, AWS, Linux, Terraform",2.3,DevOps Engineer,1
C00363,"Docker, AWS",9.7,DevOps Engineer,0
C00364,"Docker, SQL",9.8,Backend Developer,0
C00365,"Python, SQL, Machine Learning, TensorFlow",1.4,Data Scientist,0
C00366,"React, JavaScript",1.0,Frontend Developer,0
C00367,"Machine Learning, SQL, Statistics",2.5,Data Scientist,1
C00368,"Pandas, Python, Statistics, Machine Learning, TensorFlow",2.3,Data Scientist,1
C00369,"Terraform, AWS, Linux",5.8,DevOps Engineer,1
C00370,"Docker, AWS, Kubernetes",8.8,DevOps Engineer,1
C00371,"Docker, AWS",7.2,DevOps Engineer,0
C00372,"Python, Machine Learning, TensorFlow, SQL",9.4,Data Scientist,1
C00373,"Terraform, Docker, AWS, Kubernetes, Linux",9.9,DevOps Engineer,1
C00374,"Swift, Kotlin, Dart, React Native, Firebase",9.6,Mobile Developer,1
C00375,"Swift, Firebase, React Native, Dart, Kotlin",3.4,Mobile Developer,1
C00376,"Docker, CI/CD, Terraform, AWS",0.7,DevOps Engineer,0
C00377,"Machine Learning, Python, TensorFlow, Statistics, Pandas",8.8,Data Scientist,1
C00378,"Java, SQL, Spring, Microservices",7.2,Backend Developer,1
C00379,"AWS, Linux, CI/CD, Docker",6.2,DevOps Engineer,1
C00380,"CSS, HTML, JavaScript, React, TypeScript",5.0,Frontend Developer,1
C00381,"REST, Java, Spring",3.3,Backend Developer,1
C00382,"Redux, CSS, JavaScript, HTML, TypeScript",5.3,Frontend Developer,1
C00383,"Firebase, Swift, Kotlin, Dart, Flutter",2.7,Mobile Developer,1
C00384,"Pandas, Statistics, TensorFlow, Machine Learning",3.8,Data Scientist,1
C00385,"SQL, Pandas, Statistics, Python, TensorFlow",8.3,Data Scientist,1
C00386,"Firebase, Kotlin, React Native, Dart",5.1,Mobile Developer,1
C00387,"CSS, HTML, Redux, TypeScript",7.2,Frontend Developer,1
C00388,"Docker, SQL, Microservices, REST",4.9,Backend Developer,1
C00389,"CSS, HTML, TypeScript, JavaScript",9.6,Frontend Developer,1
C00390,"Flutter, Dart, Firebase",4.5,Mobile Developer,1
C00391,"Linux, AWS, Docker, Terraform",3.1,DevOps Engineer,1
C00392,"TypeScript, React, HTML",7.6,Frontend Developer,1
C00393,"Pandas, TensorFlow, Statistics",5.1,Data Scientist,1
C00394,"TypeScript, CSS",6.2,Frontend Developer,0
C00395,"Docker, Java, REST, Microservices",2.5,Backend Developer,1
C00396,"Java, Spring, Docker, SQL, REST",1.3,Backend Developer,0
C00397,"Terraform, Linux, CI/CD, Kubernetes, Docker",1.8,DevOps Engineer,0
C00398,"Kubernetes, AWS, Terraform, Linux",4.3,DevOps Engineer,1
C00399,"TensorFlow, Python, Machine Learning, SQL, Statistics",9.0,Data Scientist,1
C00400,"Kotlin, Swift, Dart",5.4,Mobile Developer,1
C00401,"Docker, Microservices",4.0,Backend Developer,0
